SUBJID  SESSID        INPUT_DIR
TAG001  wave3         TAG001_20190218_104614
TAG002  wave3         TAG002_20190127_131545
TAG004  wave3         TAG004_20170807    # Not wave 3 so removed from final bids data
TAG005  wave3         TAG005_20191028_152720
TAG007  wave3         TAG007_20190820_133904
TAG008  wave3         TAG008_20190210_132151
TAG009  wave3         TAG009_20191109_095016
TAG010  wave3         TAG010_20190908_133356
TAG015  wave3         TAG015_20200105_123519
TAG016  wave3         TAG016_20190413_124343
TAG018  wave3         TAG018_20190828_105119
TAG019  wave3         TAG019_20190518_094835
TAG020  wave3         TAG020_20190330_133356
TAG022  wave3         TAG022_20190327_140711
TAG024  wave3         TAG024_20210228_101707
TAG026  wave3         TAG026_20190203_094442
TAG027  wave3         TAG027_20190806_142315
TAG028  wave3         TAG028_20190928_131146
TAG030  wave3         TAG030_20190407_095804
TAG032  wave3         TAG032_20190828_142714
TAG033  wave3         TAG033_20190427_094703
TAG034  wave3         TAG034_20190423_160759
TAG035  wave3         TAG035_20190322_164555
TAG036  wave3         TAG036_20190903_133714
TAG038  wave3         TAG038_20190925_170026
TAG040  wave3         TAG040_20191020_093928
TAG041  wave3         TAG041_20190608_131627
TAG042  wave3         TAG042_20190825_134020
TAG044  wave3         TAG044_20190519_140058
TAG045  wave3         TAG045_20190813_105316
TAG047  wave3         TAG047_20191012_101404
TAG048  wave3_103811  TAG048_20200104_103811
TAG048  wave3_100719  TAG048_20200104_100719
TAG050  wave3         TAG050_20190525_131058
TAG051  wave3         TAG051_20190428_095437
TAG052  wave3         TAG052_20190814_104416
TAG053  wave3         TAG053_20190702_110641
TAG055  wave3         TAG055_20190601_133006
TAG056  wave3         TAG056_20190922_090339
TAG057  wave3         TAG057_20190508_161947
TAG058  wave3         TAG058_20190602_095432
TAG059  wave3         TAG059_20190724_103050
TAG060  wave3         TAG060_20190505_100423
TAG062  wave3         TAG062_20190923_110444
TAG066  wave3         TAG066_20190727_135458
TAG067  wave3         TAG067_20190518_131820
TAG068  wave3         TAG068_20200105_093501
TAG069  wave3         TAG069_20190511_092324
TAG070  wave3         TAG070_20191123_091602
TAG071  wave3         TAG071_20191013_133023
TAG072  wave3         TAG072_20210410_115754
TAG074  wave3         TAG074_20210719_155115
TAG076  wave3         TAG076_20190929_135350
TAG077  wave3         TAG077_20210523_101453
TAG078  wave3         TAG078_20191124_100110
TAG080  wave3         TAG080_20200126_132628
TAG084  wave3         TAG084_20190724_162325
TAG085  wave3         TAG085_20190812_140316
TAG086  wave3         TAG086_20190729_140212
TAG087  wave3         TAG087_20210622_093059
TAG088  wave3         TAG088_20191110_092912
TAG089  wave3         TAG089_20190624_105351
TAG090  wave3         TAG090_20190806_104832
TAG093  wave3         TAG093_20191008_170337
TAG094  wave3         TAG094_20190625_140308
TAG095  wave3         TAG095_20201212_091151
TAG099  wave3         TAG099_20200229_095012
TAG101  wave3         TAG101_20210222_134503
TAG102  wave3         TAG102_20191214_133919
TAG103  wave3         TAG103_20210227_135311
TAG104  wave3         TAG104_20191012_133035
TAG106  wave3         TAG106_20210319_130655
TAG110  wave3         TAG110_20210512_092321
TAG112  wave3         TAG112_20200222_100512
TAG113  wave3         TAG113_20200111_093207
TAG116  wave3_110420  TAG116_20210604_110420
TAG116  wave3_124643  TAG116_20210604_124643
TAG117  wave3         TAG117_20200111_125513
TAG119  wave3         TAG119_20191102_103235
TAG120  wave3         TAG120_20210117_135253
TAG122  wave3         TAG122_20210110_123021
TAG124  wave3         TAG124_20210908_151500
TAG127  wave3         TAG127_20210806_134436
TAG130  wave3         TAG130_20191202_145911
TAG132  wave3         TAG132_20200229_131721
TAG138  wave3         TAG138_20191116_132903
TAG140  wave3         TAG140_20191102_133426
TAG147  wave3_101235  TAG147_20191013_101235    # Not wave 3 so removed from final bids data
TAG147  wave3_133633  TAG147_20201219_133633    # Definitely is wave 3 mri data
TAG152  wave3         TAG152_20210118_094900
TAG155  wave3         TAG155_20210823_094228
TAG160  wave3         TAG160_20190914_131032
TAG164  wave3         TAG164_20190907_132110
TAG167  wave3         TAG167_20200222_132810
TAG169  wave3         TAG169_20191208_132850
TAG173  wave3         TAG173_20210109_094311
TAG176  wave3         TAG176_20210406_163322
TAG177  wave3         TAG177_20191117_131444
TAG179  wave3         TAG179_20210523_134538
TAG180  wave3         TAG180_20210320_100327
TAG181  wave3         TAG181_20191006_102023
TAG186  wave3         TAG186_20210116_134433
TAG188  wave3         TAG188_20210203_121116
TAG190  wave3         TAG190_20210308_111430
TAG192  wave3         TAG192_20200307_131849
TAG200  wave3         TAG200_20210609_094348
TAG202  wave3         TAG202_20210312_143642
TAG203  wave3         TAG203_20210707_131028
TAG207  wave3         TAG207_20210228_134011
TAG208  wave3         TAG208_20201129_123546
TAG210  wave3         TAG210_20200201_130727
TAG215  wave3         TAG215_20210917_154757
TAG218  wave3         TAG218_20210726_101238
TAG220  wave3         TAG220_20210502_144351
TAG221  wave3         TAG221_20210410_144927
TAG223  wave3_102133  TAG223_20210626_102133
TAG223  wave3_110701  TAG223_20210626_110701
TAG225  wave3         TAG225_20210720_091637
TAG238  wave3         TAG238_20210624_151911
TAG243  wave3         TAG243_20210810_141438
TAG250  wave3         TAG250_20210606_101519
TAG252  wave3         TAG252_20210817_161905
TAG261  wave3         TAG261_20210717_135410
